run,fitness,gap,time
1,453.3730,-20.48,3.31
2,480.4353,-15.74,2.81
3,443.8907,-22.15,4.06
4,448.4750,-21.34,3.67
5,480.7510,-15.68,3.45
6,444.6920,-22.01,3.58
7,457.8501,-19.70,2.80
8,453.5584,-20.45,4.33
9,462.1679,-18.94,2.54
10,457.3500,-19.79,2.97
11,458.4508,-19.59,3.21
12,464.8806,-18.47,3.83
13,458.6475,-19.56,4.13
14,453.2219,-20.51,3.41
15,456.2840,-19.97,2.70
16,441.0457,-22.65,4.51
17,455.3304,-20.14,4.02
18,451.7825,-20.76,3.20
19,466.7333,-18.14,3.01
20,441.6750,-22.54,3.48
